title,text,subject,date
"Andhra Pradesh Govt. plans to set up additional oxygen plant at Tirupati RUIA hospital

","After an incident where 11 died due to shortage of oxygen at Tirupati RUIA hospital, steps have been taken to set up an additional oxygen plant at Tirupati RUIA Hospital. Navy officials inspected the location of the oxygen plant. Authorities are preparing to set up another oxygen plant at the hospital on Monday night after 11 corona victims died of asphyxiation following a five-minute interruption in the oxygen supply.

https://www.thehansindia.com/news/cities/tirupathi/andhra-pradesh-govt-plans-to-set-up-additional-oxygen-plant-at-tirupati-ruia-hospital-685850",CovidNews," May 11 , 2021"
"Actor Sonu Sood To Bring In Oxygen Plant From Four Countries To Help COVID-19 Patients In India

","n a statement, Sonu Sood noted that since India spends very little amount of the GDP on health, and said we were never prepared for a crisis like this. ""Only one to two per cent of our GDP is spent on healthcare. So, we were never prepared for a pandemic. Yes, India is a densely populated country, but that can't be an excuse. We have to admit that we went wrong,"" he said.

",CovidNews," May 11 , 2021"
Varanasi ESIC Hosp gets oxygen plant from Israel,"The oxygen plant has capacity of producing 500 litres of oxygen per minute. Responsibility to carry the oxygen plant from Delhi to Varanasi was given to NDRF, said NDRF officials in a press statement.

NDRF, Varanasi, Commandant Manoj Kumar Sharma said that the oxygen plant was brought to Varanasi by road and has been set up at ESIC Hospital by technical team of NDRF with the cooperation of hospital management.

The plant will help provide smooth oxygen supply to the patients at the hospital, he added.

NDRF is also carrying out sanitization at various places and helping local administration in its fight against Corona.",CovidNews," May 11 , 2021"
Delhi likely to get remaining 18 oxygen plants from France later this month,"The national capital has received three out of the 21 Pressure Swing Adsorption (PSA) oxygen plants from France and is likely to get the remaining later this month, officials said on Saturday.

The three PSA oxygen plants donated by France have been installed at Satyawadi Raja Harishchandra Hospital in Narela, Ambedkar Hospital and Sanjay Gandhi Hospital.",CovidNews," May 08 , 2021"
"Work on oxygen plants in Gurugram yet to start, district not on priority lists, say officials","Work on the construction of six new oxygen plants in Gurugram is likely to be delayed as the district does not figure on the two priority lists announced by the National Highways Authority of India (NHAI), officials familiar with the development said on Tuesday",CovidNews," May 11 , 2021"
"DRDO installs 2 oxygen plants in Delhi, each can generate 1,000 litre O2 every min","he DRDO has installed two oxygen plants in Delhi and will be installing three more by the end of this week. Each plant can generate 1,000 litre of oxygen every minute.",CovidNews," May 05 , 2021"
Panipat plant per day production reaches over 270 MT to meet O2 need in country,"Faced with unprecedented demand of medical liquid oxygen, hundreds of workers at the oxygen plant of the Indian Oil Corporation’s Panipat refinery are working tirelessly to ensure that the life-saving oxygen reaches hospitals",CovidNews," May 12, 2021"
"Oxygen plant in J-K's Shopian becomes operational
","
hopian (Jammu and Kashmir) [India], May 10 (ANI): Following the increase in demand for oxygen due to the surge in COVID-19 cases in Jammu and Kashmir, the oxygen plant established by the administration at the district hospital in Shopian has been made operational.

Medical Superintendent of the district hospital Dr Muhammad Ismail told ANI that the capacity of the oxygen plant is 1000 litres per minute.",CovidNews," May 10, 2021"
"J&K: Kathua's Only Oxygen Plant Breaks Down Due To Technical Snag

","The Union Minister, Dr Jitendra Singh confirmed the accident in a tweet and stated that his team along with DC Rahul Yadav will be following it up and find an alternative source of Oxygen.

",CovidNews," May 10, 2021"
DRDO to set up 500 medical oxygen plants in India under PM CARES fund,The Defence Research and Development Organization (DRDO) on Wednesday said it would be setting up 500 medical oxygen plants in the country under the PM CARES fund programme.,CovidNews,"April 28,2021"
Maharashtra suspends COVID-19 vaccine drive for 18-44 age group due to shortage,The Government of Maharashtra on Tuesday suspended the COVID-19 vaccination drive for the 18-44 age group due to a shortage of jabs. State Health Minister Rajesh Tope told the media that the government has decided to prioritise the second dose of the 45+ age group people with the remaining stock of vaccines.,CovidNews," May 11, 2021"
Covid-19 vaccine shortage in metro cities,"Here's a look at India Today's reality check on the Covid-19 vaccine crunch across India, with a special focus on the metro cities- Delhi, Mumbai, Kolkata and Bengaluru. Chaos, confusion and mismanagement are prevalent across the country with citizens scrambling for vaccines.",CovidNews," May 11, 2021"
One in four people experience mild side effects from Covishield vaccine: Lancet study,"One in four people experience mild, short lived systemic side effects after receiving the COVID-19 preventive by Oxford-AstraZeneca (ChAdOx1 nCoV-19) vaccine — known as Covishield in India — with headache, fatigue and tenderness the most common symptoms, according to a study published in the Lancet Infectious Diseases journal.",CovidNews,"April 28,2021"
Real-world study in India finds COVISHIELD vaccine safe and effective,"New research led by Naresh Trehan of Medanta-The Medicity in India found the COVISHIELD (ChAdOx1 nCoV-19 Corona Virus Vaccine) vaccine produced an immune response from the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) two weeks after vaccination with limited side effects.

While national vaccination campaigns officially began on January 16, 2021, limited access has slowed the rollout. The COVISHIELD vaccine is produced by the Serum Institute of India and could help with the rising COVID-19 cases in India and prioritizing vaccines for frontline workers and at-risk groups.

",CovidNews,"April 26,2021"
Delhi goes from Covaxin to no vaccine,"Vaccination centres for those in the 18-44 age group being run by the Delhi government and administering Covaxin will be shut as the city has run out of stocks for the vaccine manufactured by Bharat Biotech, Aam Aadmi Party MLA Atishi said Tuesday.",CovidNews," May 12, 2021"
Bharat Biotech Starts Direct Supplies Of Indigenous COVID-19 Vaccine Covaxin To 14 States,"Bharat Biotech has started direct supplies of its Covid-19 vaccine Covaxin to 14 states.

The states are Andhra Pradesh, Assam, Chhattisgarh, Delhi, Gujarat, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Tamil Nadu, Telangana, Uttar Pradesh and West Bengal.",CovidNews," May 11, 2021"
Bharat Biotech's Covaxin 78% effective; works against most COVID-19 variants,"""Efficacy against SARS-Cov-2 has been established. COVAXIN has demonstrated an excellent safety record in human clinical trials and in usage under emergency use,"" said Dr Krishna Ella, MD & Chairman, Bharat Biotech",CovidNews,"April 21,2021"
Covid-19: Black fungus medicine crisis boosts cheap alternative,"MUMBAI: While treatment of mucormycosis—the black fungus aff ..

Read more at:
http://timesofindia.indiatimes.com/articleshow/82868248.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst",CovidNews,23-May-21
"Black fungus: India reports nearly 9,000 cases of rare infection","India has reported more than 8,800 cases of deadly ""black fungus"" in a growing epidemic of the disease.

The normally rare infection, called mucormycosis, has a mortality rate of 50%, with some only saved by removing an eye.

But in recent months, India saw thousands of cases affecting recovered and recovering Covid-19 patients.

Doctors say there is a link with the steroids used to treat Covid. Diabetics are at particular risk.

Doctors have told the BBC it seems to strike 12 to 18 days after recovery from Covid.",CovidNews,23-May-21
Explained: Could black fungus be linked to industrial oxygen?,"Though industrial oxygen is more pure than medical oxygen at 99.67%, the condition of industrial cylinders is not as good as medical oxygen cylinders. The former is treated roughly and without proper hygiene. Plus, they are prone to several micro leaks.",CovidNews,23-May-21
"Dangerous cocktail of antibiotics, steroids, excessive steam leading to surge in black fungus cases?","Steroids were used to treat only 14% of patients who were diagnosed with black fungus: Study
Mortality among patients of mucormycosis was 30 per cent, indicate findings from another study
High temperature steam in large amounts taken excessively can damage the mucosa: Dr Rajeev Jayadevan",CovidNews,23-May-21
Ayush comes out with Homoeopathic treatment protocol for Black Fungus,"The Department of Ayush has come out with a homoeopathic prescription for patients recovering from COVID-19, known to be diabetic or found to be diabetic during the course of treatment with steroids, as they have been found to be vulnerable to Mucormycosis (Black Fungus).

Director of Ayush, Alagu Varsini told a press conference at J.S.P.S Government Homoeopathic Medical College, Ramanthapur, on Friday that for convalescing patients in severe debilitating state with extreme prostration, Mucormycosis can be prevented by giving the following medicines — Arsenic-Alb 200 (daily two times, six pills each time for 5 days) and Five. Phos 6x tablets (twice daily, three tablets each time for 30 days).",CovidNews,21-May-21
"Black Fungus Vs White Fungus: Know the Cause, Symptoms and Treatment","ter four cases of white fungus were reported in Patna on Thursday, experts have said that the fungal infection could be more dangerous than the black fungus. Meanwhile, India has been witnessing a rise in the cases of mucormycosis, or what is commonly known as the black fungus, as the country battles the deadly second wave of COVID-19 pandemic.",CovidNews,22-May-21
Can people without Covid get black fungus? Experts explain,"Healthy people should not worry about black fungus but those with high blood sugar should be alert as they are at a greater risk of being infected, even if they do not have Covid.",CovidNews,21-May-21
Black fungus: Dentist shares simple oral tips to prevent the fungal infection,"The Ministry of Health has confirmed that the infection is being detected among people who are recovering or have recovered from COVID-19.

People undergoing oxygen therapy in ICU, where a humidifier is used are more at risk due to exposure to moisture.

Thus, it is recommended to use sterile water for oxygen therapy.

A weak immunity system, overuse of steroids, voriconazole therapy and uncontrolled diabetes also put people at risk of black fungus infection.",CovidNews,22-May-21
Are Nasal Swabs Used In Covid Testing Behind The Outbreak Of Black Fungus?,Experts working in Covid wards in top government hospitals specialising in infectious diseases have made some startling revelations to Outlook -- the reason for the spread of Mucormycosis or black fungus among many Covid-19 recovered patients could be contaminated nasal swab used during testing. ,CovidNews,22-May-21
Doctor explains why white fungus is ‘more dangerous’ than black fungus,"According to the doctor, COVID-19 patients are more prone to white fungus as it affects the lungs and similar symptoms are created like that of coronavirus.

“Those who have weak immunity like diabetes, cancer patients, and those who are taking steroids for a long period of time must take special care as they are more at risk. It is also affecting those coronavirus patients who are on oxygen support,” he says.",CovidNews,23-May-21
Mucormycosis: Why are Covid-19 patients being affected by black fungus infection?,"With the world reeling under the throes of a submicroscopic, enigmatically animated infectious particle, the novel coronavirus, we now have to contend with another hitherto not so common opportunistic foe the so-called ‘Black fungus’ infection, academically christened mucormycosis,” said Dr Dhananjaya I Bhat, senior consultant, neurosurgery, Aster RV Hospital.

He added, “The most brutal, ruthless manifestation being Rhino-orbito-cerebral mucormycosis (ROCM). Keeping this in mind we will revisit this lesser-known organism; the fungus and its relevance in the present turbulent uncertain times.”",CovidNews,23-May-21
Two black fungus cases reported in Kerala’s Palakkad; three suspected cases from Thrissur,"wo patients with black fungus infection (Mucormycosis) from Palakkad district have been admitted at Thrissur Medical College Hospital.

Thrissur district also recorded three other suspected black fungus cases. Their results are yet to come.

“All the five, undergoing treatment here, are COVID-19 patients. Delayed identification of Mucormycosis makes conditions serious. However, we can detect the infection in the early stage,” said DMO Dr. K.J. Reena.",CovidNews,23-May-21
Uttar Pradesh reports 506 cases of black fungus and 19 deaths,"Uttar Pradesh has so far reported 506 cases of black fungus and 19 deaths.

According to a status report prepared by the state Health Department, the infection has been recorded across 66 health centres of the state.


The state government on Friday had declared black fungus a notifiable disease.",CovidNews,23-May-21
Black fungus detected in 13-year-old in Gujarat's Ahmedabad,"Mucormycosis, an invasive fungal infection of the sinuses in Covid-recovered patients, has emerged as a prominent concern with India detecting several cases every day when the country is also seeing a shortage of the drug used to treat it. Now, India has detected the first case of black fungus in a 13-year-old. A 13-year-old child from Gujarat's Ahmedabad, who had recovered from Covid-19, is said to have been diagnosed with black fungus.",CovidNews,22-May-21
"Five Cases So Far: Black fungus claims life, West Bengal govt issues advisory","The West Bengal government on Saturday issued an advisory on mucormycosis — commonly known as black fungus — after a Covid patient died from the fungal infection in Kolkata.

According to the health officials, the state till now has reported five cases of black fungus infection.

Besides constituting an expert committee to deal with black fungus cases, the state health department has formulated an advisory, titled “Mucormycosis — If Uncared For — May Turn Fatal”, for the people.",CovidNews,23-May-21
"Ayurveda college in Telangana prescribing medicines for black fungus treatment, but where are the takers?","HYDERABAD: The Government Unani College and Ayurveda College are prescribing medicines for treating Mucormycosis (black fungus), but there appear to be no takers. Doctors from Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa, and Homoeopathy (AYUSH) assert that the medicines are effective and can help in both prevention and cure of both Covid-19 and Mucormycosis.

“We have two different categories of Ayurvedic medication, post-Covid and for patients having mild Covid,” Dr P Yashoda, professor and in-charge of Black Fungus Preventive Medicine Centre at the Dr BRKR Govt Ayurvedic Medical College and Hospital, says.",CovidNews,23-May-21
Self-medication linked to black fungus risk,"THIRUVANANTHAPURAM: Rampant self-medication by Covid patients at home without any expert supervision has become a major concern as they become vulnerable to black fungus. Though the government has advised home care for Covid patients with mild to moderate symptoms, it has been found that several patients have gone past the brief and started treating themselves with drugs without knowing their complications. ",CovidNews,22-May-21
421 Cases of Black Fungus in Haryana So Far; Gurgaon Sees Max 149 Cases,"The health minister said there are 1,250 vials of Amphotericin-B injection available for the treatment of patients presently. He said 421 cases of black fungus have been reported in the state so far and are being given treatment in various hospitals of the state.",CovidNews,23-May-21
"Haryana asks Centre for 12,000 Amphotericin-B injections to treat black fungus","State’s health minister Anil Vij said, “Currently, there are 1,250 vials of injection Amphotericin-B available for treatment of patients. So far 421 cases of black fungus have been reported in the state and all patients are being given treatment in various hospitals. The highest number of 149 cases of black fungus have been found in Gurugram. Besides this, there are 88 cases in Hisar, 50 cases in Faridabad, 26 cases in Rohtak, 25 cases in Sirsa, 17 cases in Karnal, 15 cases in Panipat, 11 cases in Ambala, eight cases in Bhiwani and the remaining in other districts.”",CovidNews,23-May-21
Suspected black fungus case in Kashmir Valley,"SRINAGAR: A patient at the Government Dental College (GDC) hospital here, who has recently recovered from COVID-19, is suspected of having mucormycosis or black fungus, a doctor said on Sunday.

The doctors are planning to conduct a biopsy on the patient on Monday which will confirm whether he actually is the first confirmed case of the disease in the Kashmir Valley this year.",CovidNews,23-May-21
